        UC,Название,Актор,Модуль,Предусловие,Триггер,Основной сценарий,Альтернативные потоки,Постусловие
UC-01,Регистрация по email,Гость,Auth,Пользователь не имеет аккаунта,Нажатие «Начать бесплатно» на лендинге,"1. Открывается AuthModal → вкладка Регистрация; 2. Вводит имя, email, пароль; 3. POST /api/auth/register → 201; 4. Редирект на /onboarding (квиз); 5. POST /api/me/onboarding; 6. Редирект на /feed; 7. Баннер «Подтвердите email»","A1: Email занят → ошибка; A2: Слабый пароль → инлайн-валидация; A3: Сервер недоступен → ошибка","Аккаунт создан (статус unverified); созданы дефолтные группы инвентаря; выдан access token"
UC-02,Вход в аккаунт,Гость,Auth,Аккаунт существует,Нажатие «Войти» на лендинге или защищённой странице,"1. AuthModal → вкладка Вход; 2. Вводит email + пароль; 3. POST /api/auth/login → 200; 4. Редирект на /feed","A1: Неверный пароль → ошибка; A2: Аккаунт suspended → блокировка; A3: «Запомнить меня» → refresh 30 дней; A4: Token истёк → автообновление",Пользователь аутентифицирован
UC-03,Вход через OAuth,Гость,Auth,—,Нажатие «Войти через Яндекс» или «Войти через VK»,"1. Редирект к OAuth-провайдеру; 2. Подтверждение доступа; 3. POST /api/auth/oauth/callback; 4. Найти или создать пользователя; 5. Новый → /onboarding; Существующий → /feed","A1: Отклонил доступ → возврат на лендинг; A2: Email уже в системе → связать аккаунты","Аккаунт создан или найден; social_yandex_linked / social_vk_linked = true"
UC-04,Сброс пароля,Гость,Auth,Аккаунт с email существует,Нажатие «Забыли пароль?» в AuthModal,"1. Вводит email → POST /api/auth/forgot-password; 2. Письмо со ссылкой (TTL 1 ч); 3. Форма нового пароля; 4. POST /api/auth/reset-password; 5. Инвалидация всех refresh токенов; 6. Сообщение «Войдите снова»","A1: Email не найден → ответ «Письмо отправлено» (безопасность); A2: Токен истёк → «Ссылка устарела»; A3: Токен использован → «Ссылка недействительна»",Пароль изменён; все сессии завершены
UC-05,Удаление аккаунта,Пользователь,Auth,Пользователь авторизован,Кнопка «Удалить аккаунт» в Settings → Account,"1. Модал подтверждения; 2. Ввод пароля; 3. DELETE /api/me → статус deleted; 4. Анонимизация данных; 5. Публикации → ghost; 6. Удаление подписок/инвентаря/финансов; 7. Редирект на лендинг","A1: Отмена → аккаунт цел; A2: Неверный пароль → ошибка","Статус deleted; через 30 дней — полная очистка (GDPR job); публикации → «👻 Привидение»"
UC-06,Редактирование профиля,Пользователь,Профиль,Пользователь авторизован,Нажатие «Редактировать» в Account,"1. Форма: имя, handle, bio, аватар; 2. Редактирует поля; 3. POST /api/me/avatar (multipart); 4. PUT /api/me; 5. Данные обновляются везде","A1: Handle занят → ошибка; A2: Файл > лимита → ошибка; A3: Смена email → подтверждение; A4: Смена пароля → текущий пароль","Профиль обновлён; аватар на S3"
UC-07,Изменение настроек,Пользователь,Профиль,Пользователь авторизован,Переход в Settings,"1. Секции: Внешний вид / Уведомления / Приватность / Интеграции; 2. Тема → применяется мгновенно + PUT /api/me/settings; 3. Настройка уведомлений; 4. Управление приватностью; 5. OAuth-связки",,Настройки сохранены в user_settings
UC-08,Просмотр и фильтрация каталога,Пользователь,Каталог,—,Переход в раздел Каталог,"1. GET /api/catalog (пагинация); 2. Фильтры: категория / источник / тип; 3. Сортировка: новые / популярные; 4. Карточки с метаданными","A1: Нет наборов → пустое состояние; A2: Подгрузка → infinite scroll",—
UC-09,Просмотр деталей набора,Пользователь,Каталог,Набор существует и опубликован,Клик на карточку набора,"1. GET /api/catalog/:id; 2. Позиции с ценами и параметрами; 3. Масштаб (0.25x–5x); 4. Лайк → POST /api/sets/:id/like; 5. Переход к профилю автора","A1: Уже добавлен → «Уже добавлен»; A2: Анонимный автор → переход заблокирован; A3: Ghost автор → «👻 Привидение»","views_count +1 (через очередь)"
UC-10,Добавление набора в профиль,Пользователь,Каталог,Пользователь авторизован; просматривает SetDetail,Нажатие «Добавить в профиль»,"1. POST /api/sets/:id/save; 2. Публичный набор → добавляется как публичный; личный → как личный; 3. Создать envelope (если нет); 4. Добавить в envelope_sets; 5. Создать inventory_items (frozen); 6. Уведомление inv_frozen; 7. Редирект на /inventory","A1: Набор уже добавлен → диалог; A2: Пользователь редактирует публичный набор → автоматически становится личным (персональная копия)","Envelope создан; позиции frozen; set_saves запись; users_count +1"
UC-10a,Удаление набора из профиля,Пользователь,Каталог/Инвентарь,Набор добавлен в профиль пользователя,Нажатие «Удалить из профиля»,"1. DELETE /api/profile/sets/:id; 2. frozen позиции (без данных) → удаляются; 3. Позиции с данными → статус paused + прикрепляются к набору «Личное»; 4. Набор удалён из профиля; публичный — скрывается из каталога","A1: Нет позиций → удаление без действий; A2: Набор «Личное» не существует → создаётся автоматически","Набор удалён; frozen позиции удалены; позиции с данными → paused в «Личное»; users_count -1"
UC-10b,Перекрепление позиции к другому набору,Пользователь,Инвентарь,"Позиция в инвентаре (active/paused/frozen)","Выбор «Прикрепить к набору» в меню позиции","1. Список личных наборов пользователя (включая «Личное»); 2. По умолчанию позиция в наборе «Личное»; 3. Выбор нового набора; 4. PUT /api/inventory/items/:id/set; 5. Позиция перекреплена; 6. Инвентарь перегруппирован","A1: Публичный набор → недоступен для прикрепления; A2: Уже прикреплена → без изменений","Позиция прикреплена к новому набору; инвентарь обновлён"
UC-11,Просмотр инвентаря,Пользователь,Инвентарь,Пользователь авторизован,Переход в раздел Инвентарь,"1. GET /api/inventory; 2. Статусы вычисляются на лету (не из БД); 3. Кольца прогресса ok/soon/urgent/over; 4. Раздел «Заморозка» если есть frozen",,—
UC-12,Активация позиции из заморозки,Пользователь,Инвентарь,Позиция в статусе frozen,Нажатие «Купил» у позиции в заморозке,"1. Форма: qty / цена / дата покупки; 2. PUT /api/inventory/items/:id/activate; 3. Статус → active; 4. Перемещение в группу; 5. Последняя frozen → уведомление «Все активированы ✅»","A1: Изменил qty → расчёт от нового значения; A2: Прошедшая дата → статус может быть soon/urgent","Позиция активна; участвует в SmartBase"
UC-13,Пополнение расходника,Пользователь,Инвентарь,Позиция consumable в статусе active,Нажатие «Пополнить»,"1. Форма: кол-во + цена; 2. POST /api/inventory/items/:id/restock; 3. qty = old + added; purchase_date = today; 4. Статус → ok","A1: «Купил заново» → PUT /activate с default qty","qty обновлён; статус пересчитан"
UC-14,Ручное добавление позиции,Пользователь,Инвентарь,Пользователь авторизован,Нажатие «Добавить вручную»,"1. Форма: название / тип / группа; 2. consumable: qty+unit+daily_use+price+date; wear: weeks+price+date; 3. POST /api/inventory/items (is_manual=true; set_id=personal); 4. Позиция прикрепляется к набору «Личное»; 5. Сразу статус active; 6. Можно переприкрепить через UC-10b","A1: Группа не существует → создать новую или Разное; A2: «Личное» не создан → создаётся автоматически","Позиция создана с is_manual=true; прикреплена к набору «Личное»"
UC-15,Архивация позиции,Пользователь,Инвентарь,Позиция в статусе active,Нажатие «Архивировать»,"1. PUT /api/inventory/items/:id/archive; 2. Статус → archived; 3. Скрывается из основного списка; 4. Исключается из SmartBase",,Позиция в архиве; не влияет на расчёты
UC-16,Напоминание о заканчивающейся позиции,Система,Инвентарь,Есть активные позиции,Ежедневный job в 09:00,"1. Пересчёт статусов всех активных позиций; 2. ok/soon → urgent → notification inv_reminder; 3. → over → notification (высокий приоритет); 4. Доставка через SSE/polling","A1: Уведомления inv_reminder отключены → пропуск; A2: Статус не изменился → не дублировать","Уведомление создано"
UC-17,Заполнение финансовых данных,Пользователь,Финансы,Финансы ещё не заполнены,Первый переход в Profile или баннер,"1. FinancialModal; 2. Доход / фикс.расходы / капитал / ставки; 3. PUT /api/profile/finance; 4. Расчёт: SmartBase / свободные / ядро / EmoSpend / прогноз 10 лет","A1: Нет наборов → SmartBase = 0; A2: Расходы > дохода → предупреждение","user_finance заполнен; расчёты доступны"
UC-18,Изменение ставки EmoSpend,Пользователь,Финансы,Финансовые данные заполнены,Движение ползунка EmoSpend в Profile,"1. Ползунок 4%–10%; 2. EmoSpend обновляется локально в реальном времени; 3. График пересчитывается; 4. PUT /api/profile/finance при отпускании (debounce)",,Новая ставка сохранена
UC-19,Автоматический пересчёт SmartBase,Система,Финансы,Есть активные наборы в конвертах,"Добавление/удаление набора; активация/архивация позиции","1. Пересчёт SmartBase по формулам; 2. GET /api/profile/summary; 3. Frontend обновляет без перезагрузки",,Финансовые расчёты актуальны
UC-20,Просмотр ленты,Пользователь,Лента,Пользователь авторизован,Переход в раздел Feed,"1. GET /api/feed; 2. Алгоритм: подписки → популярное → SS → рекомендации; 3. Карточки с метаданными; 4. Cursor-based pagination",,Прочитанные элементы отмечаются
UC-21,Фильтрация ленты,Пользователь,Лента,Пользователь на странице Feed,Взаимодействие с фильтрами,"1. Тип: Все/Статьи/Наборы; 2. Режим: Все/Подписки/Непрочитанное/Понравившееся; 3. Категория; 4. Сортировка; 5. GET /api/feed?type=&mode=&cat=&sort=",,—
UC-22,Чтение статьи,Пользователь,Статьи,Статья опубликована,Клик на карточку статьи,"1. GET /api/articles/:id; 2. Markdown → HTML; 3. Привязанный набор → добавить в конверт; 4. POST /api/articles/:id/read; 5. Лайк → POST /api/articles/:id/like","","article_reads создана; views_count +1"
UC-23,Написание и публикация статьи,Автор,Статьи,Пользователь авторизован,Нажатие «Создать статью»,"1. POST /api/articles (черновик); 2. Заголовок/лид/тело; 3. Загрузка изображений → S3; 4. Категория; 5. LinkedSet (опц.); 6. Автосохранение каждые 30 сек; 7. Предпросмотр; 8. POST /api/articles/:id/publish; 9. Уведомления подписчикам sub_new_article","A1: Пустой заголовок → блокировка; A2: Файл велик → ошибка; A3: Анонимно → is_anonymous=true; A4: Закрыл без публикации → черновик сохранён","Статья опубликована; articles_count +1"
UC-24,Редактирование статьи,Автор,Статьи,"Статья существует (черновик или опубликована)",Нажатие «Редактировать»,"1. Редактор с текущим содержимым; 2. Изменения; 3. PUT /api/articles/:id; 4. Изменения видны читателям сразу","A1: Удаление изображения → DELETE /api/articles/images/:id → удаление из S3",Статья обновлена
UC-25,Комментирование статьи,Пользователь,Статьи,"Статья опубликована, пользователь авторизован",Ввод текста в поле комментария,"1. POST /api/articles/:id/comments; 2. Комментарий в списке; 3. Уведомление автору comment_on_my; 4. Ответ → comment_reply; 5. Лайк → POST /api/comments/:id/like","A1: Редактирование → PUT /api/comments/:id; A2: Удаление → is_deleted=true → «[удалено]»","comments_count +1"
UC-26,Анонимная публикация,Автор,Статьи / Наборы,Создаёт статью или набор,Toggle «Опубликовать анонимно»,"1. is_anonymous=true; 2. В ленте: «🔒 Анонимный автор»; 3. Клик → заблокирован; 4. В аккаунте помечено «Анонимно»; 5. Раскрыть: PUT {is_anonymous: false}","A1: Попытка узнать автора через API → author_id не возвращается","author_id хранится в БД; скрыт от клиентов"
UC-27,Создание собственного набора,Автор,Наборы,Пользователь авторизован,Нажатие «Создать набор»,"1. POST /api/sets (черновик); 2. Заголовок / описания; 3. Категория и тип; 4. Добавление позиций; 5. Видимость: публичный/приватный; 6. Предпросмотр; 7. POST /api/sets/:id/publish","A1: Приватный → source=own; A2: Публичный → source=community; A3: Анонимно → UC-26; A4: Добавить в конверт → позиции frozen → UC-12","Набор опубликован; sets_count +1"
UC-28,Редактирование набора,Автор,Наборы,"Набор существует, принадлежит автору",Нажатие «Редактировать»,"1. Форма с текущими данными; 2. Изменения; 3. PUT /api/sets/:id; 4. Изменения видны другим пользователям",,Набор обновлён
UC-29,Подписка на автора,Пользователь,Социальное,"Оба существуют, не подписан",Нажатие «Подписаться»,"1. POST /api/users/:id/follow; 2. Уведомление автору new_follower; 3. Контент в ленте приоритетно; 4. Режим «Подписки» в Feed","A1: Уже подписан → кнопка «Вы подписаны»; A2: Отписка → DELETE /api/users/:id/follow; A3: Приватный профиль → кнопка недоступна","follows создан; followers_count +1"
UC-30,Просмотр профиля автора,Пользователь,Социальное,"Профиль публичный, аккаунт активен",Клик на имя автора,"1. GET /api/users/:id; 2. Аватар / имя / bio / статистика; 3. GET /api/users/:id/articles; 4. GET /api/users/:id/sets; 5. Подписаться → UC-29","A1: Ghost → «Аккаунт удалён»; A2: Анонимный → переход заблокирован",—
UC-31,Лайк набора или статьи,Пользователь,Социальное,"Авторизован, контент существует",Нажатие ❤️,"1. Оптимистичное обновление +1; 2. POST /api/sets/:id/like или /articles/:id/like; 3. Milestone (50/100/500) → уведомление автору like_milestone","A1: Убрать лайк → DELETE; A2: Ошибка сервера → откат обновления","set_likes / article_likes создан"
UC-32,Просмотр уведомлений,Пользователь,Уведомления,Есть уведомления,Клик на колокол или переход в /notifications,"1. GET /api/notifications; 2. Непрочитанные выделены; 3. Клик → редирект по payload; 4. POST /api/notifications/:id/read; 5. «Прочитать все» → POST /api/notifications/read-all","A1: Нет уведомлений → «Всё тихо 🎉»; A2: Фильтр по типу","Прочитанные помечены; счётчик обнуляется"
UC-33,Real-time доставка уведомлений,Система,Уведомления,"Пользователь авторизован, онлайн",Создание нового уведомления в БД,"1. SSE-соединение при открытии; 2. Сервер пушит событие; 3. Счётчик на колоколе обновляется; 4. Тост поверх интерфейса","A1: SSE недоступен → polling каждые 30 сек",Пользователь видит уведомление в реальном времени
UC-34,Еженедельный дайджест,Система,Уведомления,weekly_digest включён в настройках,Каждое воскресенье в 18:00,"1. Сводка: over / urgent / новые SS наборы / новые статьи подписок; 2. Уведомление weekly_digest; 3. Клик → детали","A1: Нет изменений → дайджест не создаётся; A2: Отключён → пропуск",Пользователь проинформирован
UC-35,Уведомление о заморозке,Система,Уведомления,Набор добавлен в конверт (UC-10),Завершение POST /api/sets/:id/save,"1. Уведомление inv_frozen: «Добавлено N позиций»; 2. Тостер; 3. Ежедневное напоминание пока есть frozen; 4. Последняя активирована → «Все позированы ✅»","A1: Напоминание уже было сегодня → не дублировать",Пользователь знает о замороженных позициях
UC-36,Ghost-аккаунт после удаления,Система,Система,Пользователь выполнил UC-05,Статус аккаунта → deleted,"1. Анонимизация email и данных; 2. Публикации → ghost_user; 3. В ленте «👻 Привидение»; 4. GhostProfile: «Аккаунт удалён»; 5. Через 30 дней — полная очистка",,Контент сохранён; данные удалены
UC-37,Поиск по контенту,Пользователь,Система,Пользователь авторизован (опц.),Ввод запроса в поисковую строку,"1. GET /api/search?q=&type=; 2. Поиск по: sets (title/desc/items) / articles (title/excerpt/body) / users (name/handle/bio); 3. Результаты по типам; 4. Клик → страница","A1: Запрос < 2 символов → не искать; A2: Нет результатов → «Ничего не найдено»",—
